specialty_concept_id,specialty_concept_name,specialty_name
45756747,Adolescent Medicine,General Pediatrics
38004448,Allergy / Immunology,Allergy/Immunology
38004450,Anesthesiology,Anesthesia
38004119,Audiologist,Audiology
38004489,Audiology,Audiology
38003634,"Behavioral Health & Social Service Providers, Psychologist",Psychology
38003656,"Behavioral Health & Social Service Providers, Social Worker",Social Work
38004451,Cardiology,Cardiology
38004146,Cardiology Technician,Cardiology
38004090,Certified Respiratory Therapist,Pulmonology
45756756,Child and Adolescent Psychiatry,Psychology
38003640,Clinical Child and Adolescent Psychologist,Psychology
45756760,Clinical Genetics (MD),Genetics
32412,Clinical Genetics and Genomics (MD),Genetics
38004294,Clinical Medical Laboratory,Pathology
45756763,Clinical Neurophysiology,Neurology
38003631,Clinical Neuropsychologist,Neurology
38004390,Clinical Nurse Specialist,Other/Unknown
38004493,Clinical Psychology,Psychology
38004500,Critical care (intensivist),Critical Care
903277,Dentistry,Dentistry
38004452,Dermatology,Dermatology
45756768,Developmental-Behavioral Pediatrics,Developmental Pediatrics
38004510,Emergency Medicine,Emergency Medicine
45756771,"Endocrinology, Diabetes and Metabolism",Endocrinology
38003699,"Eye and Vision Services Providers, Optometrist",Opthalmology/Optometry
38003851,Family Medicine,General Pediatrics
38004453,Family Practice,General Pediatrics
38004455,Gastroenterology,Gastroenterology
38004279,General Acute Care Hospital,Critical Care
2000000063,General Pediatrics,General Pediatrics
38004446,General Practice,General Pediatrics
38004447,General Surgery,Misc. Surgery
38004513,Gynecology / Oncology,Gynecology
38004501,Hematology,Hematology
38003857,Hospice and Palliative Family Medicine,Palliative Care
45756777,Hospice and Palliative Medicine,Palliative Care
38003942,Hospice and Palliative Pediatric Medicine,Palliative Care
903278,Hospital Medicine,Hospital Medicine
38004484,Infectious Disease,Infectious Disease
38004456,Internal Medicine,Internal Medicine
45756778,Internal Medicine - Critical Care Medicine,Critical Care
38004511,Interventional Radiology,Radiology
38004504,Maxillofacial Surgery,Misc. Surgery
45756782,Medical Genetics and Genomics,Genetics
38004507,Medical Oncology,Oncology
38004370,Medical Physician Assistant,Other/Unknown
45756784,Medical Toxicology,Toxicology
38003807,Midwife,Gynecology
45756786,Neonatal-Perinatal Medicine,Neonatal Medicine
38004458,Neurology,Neurology
45756788,Neurology with Special Qualification in Child Neurology,Neurology
45756791,Neuroradiology,Neurology
38004459,Neurosurgery,Neurology
45756792,Neurotology,Neurology
44814650,No information,Other/Unknown
0,No matching concept,Other/Unknown
38004487,Nurse Practitioner,Other/Unknown
38003688,Nutritionist,Nutrition
38004461,Obstetrics / Gynecology,Gynecology
38004492,Occupational Therapy,Rehabilitative Medicine
38004463,Ophthalmology,Opthalmology/Optometry
38004481,Optometry,Opthalmology/Optometry
45756794,Orthopaedic Sports Medicine,Orthopedics
38004465,Orthopedic Surgery,Orthopedics
44814649,Other,Other/Unknown
38004449,Otolaryngology,Otolaryngology
38004494,Pain Management,Rehabilitative Medicine
38003967,Pain Rehabilitation Medicine,Rehabilitative Medicine
38004466,Pathology,Pathology
45756797,Pathology - Clinical,Pathology
45756802,Pathology - Pediatric,Pathology
45756804,Pediatric Anesthesiology,Anesthesia
45756805,Pediatric Cardiology,Cardiology
45756806,Pediatric Critical Care Medicine,Critical Care
38003677,Pediatric Dentistry,Dentistry
45756807,Pediatric Dermatology,Dermatology
45756808,Pediatric Emergency Medicine,Emergency Medicine
45756809,Pediatric Endocrinology,Endocrinology
45756810,Pediatric Gastroenterology,Gastroenterology
45756811,Pediatric Hematology-Oncology,Hematology
45756812,Pediatric Infectious Diseases,Infectious Disease
38004477,Pediatric Medicine,Other/Unknown
45756813,Pediatric Nephrology,Nephrology
38003946,Pediatric Neurodevelopmental Disabilities,Developmental Pediatrics
38004407,Pediatric Nurse,Other/Unknown
38003909,Pediatric Orthopaedic Surgery,Orthopedics
45756814,Pediatric Otolaryngology,Otolaryngology
45756815,Pediatric Pulmonology,Pulmonology
45756816,Pediatric Radiology,Radiology
45756817,Pediatric Rehabilitation Medicine,Rehabilitative Medicine
45756818,Pediatric Rheumatology,Rheumatology
45756819,Pediatric Surgery,Misc. Surgery
45756821,Pediatric Urology,Urology
38004087,Pediatrics Occupational Therapist,Rehabilitative Medicine
38004468,Physical Medicine And Rehabilitation,Rehabilitative Medicine
38004490,Physical Therapist,Rehabilitative Medicine
38004512,Physician Assistant,Other/Unknown
38004467,Plastic And Reconstructive Surgery,Misc. Surgery
38003627,Professional Behavioral Health Counselor,Psychology
38004469,Psychiatry,Psychology
45756824,Public Health and General Preventive Medicine,General Pediatrics
38004472,Pulmonary Disease,Pulmonology
45756825,Radiology,Radiology
38003690,Registered Dietitian,Nutrition
38004694,Registered Dietitian or Nutrition Professional,Nutrition
38003716,Registered Nurse,Other/Unknown
38003691,Registered Pediatric Dietitian,Nutrition
2000000789,Remapped Hematology Specialty,Hematology - Remapped
38004491,Rheumatology,Rheumatology
45756827,Sleep Medicine,Sleep Medicine
38004499,Social Worker,Social Work
38003794,Specialist,Other/Unknown
38004125,"Speech, Language and Hearing Service Providers, Speech-Language Pathologist",Rehabilitative Medicine
38004122,"Speech, Language and Hearing Specialist / Technologist",Rehabilitative Medicine
38004445,Student,Other/Unknown
38004155,"Technologist, Technician and Other Technical Service Provider",Other/Unknown
38004473,Thoracic Surgery,Cardiology
38003827,Transplant Surgery,Transplant
38004514,Unknown Physician Specialty,Other/Unknown
38004474,Urology,Urology
45756833,Vascular and Interventional Radiology,Cardiology
