"concept_id","concept_code","concept_name","concept_class","domain_name","vocabulary_name","cluster"
3094918,"142868001","MCV - NOS","Clinical Finding","Condition","Nebraska Lexicon","mcv"
40301727,"142868001","MCV - NOS","Clinical Finding","Condition","SNOMED","mcv"
45912123,"851","MEAN CORPUSCULAR VOLUME","Test","Measurement","CIEL","mcv"
3024731,"30428-7","MCV [Entitic volume]","Lab Test","Measurement","LOINC","mcv"
3023599,"787-2","MCV [Entitic volume] by Automated count","Lab Test","Measurement","LOINC","mcv"
36360055,"10027003","Mean cell volume high","LLT","Measurement","MedDRA","mcv"
36313260,"10027004","Mean cell volume increased","PT","Measurement","MedDRA","mcv"
36313257,"10026999","Mean cell volume","PT","Measurement","MedDRA","mcv"
36360057,"10051859","Mean corpuscular volume increased","LLT","Measurement","MedDRA","mcv"
36360054,"10051858","Mean corpuscular volume decreased","LLT","Measurement","MedDRA","mcv"
3449135,"104133003","Erythrocyte mean corpuscular volume determination","Procedure","Measurement","Nebraska Lexicon","mcv"
45478672,"42AZ.00","MCV - NOS","Read","Measurement","Read","mcv"
4013085,"165457009","MCV - NOS","Procedure","Measurement","SNOMED","mcv"
3557606,"5.75431E+14","MCV - NOS","Procedure","Measurement","SNOMED","mcv"
4016239,"104133003","Erythrocyte mean corpuscular volume determination","Procedure","Measurement","SNOMED","mcv"
35814201,"30040","Mean corpuscular volume","Variable","Measurement","UK Biobank","mcv"
3085149,"103207006","Erythrocyte mean corpuscular volume","Observable Entity","Observation","Nebraska Lexicon","mcv"
40267645,"103207006","Erythrocyte mean corpuscular volume","Observable Entity","Observation","SNOMED","mcv"
3110757,"165457009","Mean corpuscular volume - NOS","Procedure","Procedure","Nebraska Lexicon","mcv"
45527664,"L8131","MEAN CORPUSCULAR VOLUME","OXMIS","Procedure","OXMIS","mcv"
