concept_id,concept_code,concept_name,vocabulary_id,subtyping
3030512,50791-3,Hemoglobin pattern [Interpretation] in Blood by Electrophoresis acid (pH 6.0),LOINC,text
3014482,13514-5,Hemoglobin pattern [Interpretation] in Blood by Electrophoresis Narrative,LOINC,text
3004979,13515-2,Hemoglobin pattern [Interpretation] in Blood by Electrophesis citrate agar Narrative,LOINC,text
3006949,32017-6,Hemoglobin.other/Hemoglobin.total in Blood by Electrophoresis,LOINC,not
3030612,32683-5,Hemoglobin S/Hemoglobin.total in Blood by Electrophoresis,LOINC,quant
3032868,43113-0,Hemoglobin electrophoresis panel in Blood,LOINC,text
3045807,44923-1,Hemoglobin S/Hemoglobin.total in Blood by HPLC,LOINC,quant
3010418,4621-9,Hemoglobin S [Presence] in Blood,LOINC,not
3005081,4625-0,Hemoglobin S/Hemoglobin.total in Blood,LOINC,quant
3051923,46740-7,Hemoglobin disorders newborn screen interpretation,LOINC,text
3053000,49316-3,Hemoglobin pattern [Interpretation] in Blood by Electrophoresis,LOINC,text
3053287,49317-1,Hemoglobin pattern [Interpretation] in Blood Narrative,LOINC,text
40760814,57703-1,Hemoglobin disorders newborn screening comment-discussion,LOINC,not
3017974,6864-3,Hemoglobin S [Presence] in Blood by Solubility test,LOINC,not
21491353,78748-1,Hemoglobin pattern [Interpretation] in Blood by Capillary electrophoresis (CE),LOINC,text
3020412,801-1,Sickle cells [Presence] in Blood by Light microscopy,LOINC,not
