code1,codetype1,descrip
30230H0,PX10,"Transfusion of autologous whole blood into peripheral vein, open approach"
30230K0,PX10,"Transfusion of autologous frozen plasma into peripheral vein, open approach"
30230L0,PX10,"Transfusion of autologous fresh plasma into peripheral vein, open approach"
30230M0,PX10,"Transfusion of autologous plasma cryoprecipitate into peripheral vein, open approach"
30230N0,PX10,"Transfusion of autologous red blood cells into peripheral vein, open approach"
30230P0,PX10,"Transfusion of autologous frozen red cells into peripheral vein, open approach"
30230R0,PX10,"Transfusion of autologous platelets into peripheral vein, open approach"
30230T0,PX10,"Transfusion of autologous fibrinogen into peripheral vein, open approach"
30230H1,PX10,"Transfusion of nonautologous whole blood into peripheral vein, open approach"
30230K1,PX10,"Transfusion of nonautologous frozen plasma into peripheral vein, open approach"
30230L1,PX10,"Transfusion of nonautologous fresh plasma into peripheral vein, open approach"
30230M1,PX10,"Transfusion of nonautologous plasma cryoprecipitate into peripheral vein, open approach"
30230N1,PX10,"Transfusion of nonautologous red blood cells into peripheral vein, open approach"
30230P1,PX10,"Transfusion of nonautologous frozen red cells into peripheral vein, open approach"
30230R1,PX10,"Transfusion of nonautologous platelets into peripheral vein, open approach"
30230T1,PX10,"Transfusion of nonautologous fibrinogen into peripheral vein, open approach"
30233H0,PX10,"Transfusion of autologous whole blood into peripheral vein, percutaneous approach"
30233K0,PX10,"Transfusion of autologous frozen plasma into peripheral vein, percutaneous approach"
30233L0,PX10,"Transfusion of autologous fresh plasma into peripheral vein, percutaneous approach"
30233M0,PX10,"Transfusion of autologous plasma cryoprecipitate into peripheral vein, percutaneous approach"
30233N0,PX10,"Transfusion of autologous red blood cells into peripheral vein, percutaneous approach"
30233P0,PX10,"Transfusion of autologous frozen red cells into peripheral vein, percutaneous approach"
30233R0,PX10,"Transfusion of autologous platelets into peripheral vein, percutaneous approach"
30233T0,PX10,"Transfusion of autologous fibrinogen into peripheral vein, percutaneous approach"
30233H1,PX10,"Transfusion of nonautologous whole blood into peripheral vein, percutaneous approach"
30233K1,PX10,"Transfusion of nonautologous frozen plasma into peripheral vein, percutaneous approach"
30233L1,PX10,"Transfusion of nonautologous fresh plasma into peripheral vein, percutaneous approach"
30233M1,PX10,"Transfusion of nonautologous plasma cryoprecipitate into peripheral vein, percutaneous approach"
30233N1,PX10,"Transfusion of nonautologous red blood cells into peripheral vein, percutaneous approach"
30233P1,PX10,"Transfusion of nonautologous frozen red cells into peripheral vein, percutaneous approach"
30233R1,PX10,"Transfusion of nonautologous platelets into peripheral vein, percutaneous approach"
30233T1,PX10,"Transfusion of nonautologous fibrinogen into peripheral vein, percutaneous approach"
30240H0,PX10,"Transfusion of autologous whole blood into central vein, open approach"
30240K0,PX10,"Transfusion of autologous frozen plasma into central vein, open approach"
30240L0,PX10,"Transfusion of autologous fresh plasma into central vein, open approach"
30240M0,PX10,"Transfusion of autologous plasma cryoprecipitate into central vein, open approach"
30240N0,PX10,"Transfusion of autologous red blood cells into central vein, open approach"
30240P0,PX10,"Transfusion of autologous frozen red cells into central vein, open approach"
30240R0,PX10,"Transfusion of autologous platelets into central vein, open approach"
30240T0,PX10,"Transfusion of autologous fibrinogen into central vein, open approach"
30240H1,PX10,"Transfusion of nonautologous whole blood into central vein, open approach"
30240K1,PX10,"Transfusion of nonautologous frozen plasma into central vein, open approach"
30240L1,PX10,"Transfusion of nonautologous fresh plasma into central vein, open approach"
30240M1,PX10,"Transfusion of nonautologous plasma cryoprecipitate into central vein, open approach"
30240N1,PX10,"Transfusion of nonautologous red blood cells into central vein, open approach"
30240P1,PX10,"Transfusion of nonautologous frozen red cells into central vein, open approach"
30240R1,PX10,"Transfusion of nonautologous platelets into central vein, open approach"
30240T1,PX10,"Transfusion of nonautologous fibrinogen into central vein, open approach"
30243H0,PX10,"Transfusion of autologous whole blood into central vein, percutaneous approach"
30243K0,PX10,"Transfusion of autologous frozen plasma into central vein, percutaneous approach"
30243L0,PX10,"Transfusion of autologous fresh plasma into central vein, percutaneous approach"
30243M0,PX10,"Transfusion of autologous plasma cryoprecipitate into central vein, percutaneous approach"
30243N0,PX10,"Transfusion of autologous red blood cells into central vein, percutaneous approach"
30243P0,PX10,"Transfusion of autologous frozen red cells into central vein, percutaneous approach"
30243R0,PX10,"Transfusion of autologous platelets into central vein, percutaneous approach"
30243T0,PX10,"Transfusion of autologous fibrinogen into central vein, percutaneous approach"
30243H1,PX10,"Transfusion of nonautologous whole blood into central vein, percutaneous approach"
30243K1,PX10,"Transfusion of nonautologous frozen plasma into central vein, percutaneous approach"
30243L1,PX10,"Transfusion of nonautologous fresh plasma into central vein, percutaneous approach"
30243M1,PX10,"Transfusion of nonautologous plasma cryoprecipitate into central vein, percutaneous approach"
30243N1,PX10,"Transfusion of nonautologous red blood cells into central vein, percutaneous approach"
30243P1,PX10,"Transfusion of nonautologous frozen red cells into central vein, percutaneous approach"
30243R1,PX10,"Transfusion of nonautologous platelets into central vein, percutaneous approach"
30243T1,PX10,"Transfusion of nonautologous fibrinogen into central vein, percutaneous approach"
