concept_id,concept_code,concept_name,vocabulary_id
2788673,30230H0,"Transfusion of Autologous Whole Blood into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788674,30230H1,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788677,30230K0,"Transfusion of Autologous Frozen Plasma into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788678,30230K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788679,30230L0,"Transfusion of Autologous Fresh Plasma into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788680,30230L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788681,30230M0,"Transfusion of Autologous Plasma Cryoprecipitate into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788682,30230M1,"Transfusion of Nonautologous Plasma Cryoprecipitate into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788683,30230N0,"Transfusion of Autologous Red Blood Cells into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788684,30230N1,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788685,30230P0,"Transfusion of Autologous Frozen Red Cells into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788686,30230P1,"Transfusion of Nonautologous Frozen Red Cells into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788689,30230R0,"Transfusion of Autologous Platelets into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788690,30230R1,"Transfusion of Nonautologous Platelets into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788693,30230T0,"Transfusion of Autologous Fibrinogen into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788694,30230T1,"Transfusion of Nonautologous Fibrinogen into Peripheral Vein, Open Approach (Deprecated)",ICD10PCS
2788706,30233H0,"Transfusion of Autologous Whole Blood into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788707,30233H1,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788710,30233K0,"Transfusion of Autologous Frozen Plasma into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788711,30233K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788712,30233L0,"Transfusion of Autologous Fresh Plasma into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788713,30233L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788714,30233M0,"Transfusion of Autologous Plasma Cryoprecipitate into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788715,30233M1,"Transfusion of Nonautologous Plasma Cryoprecipitate into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788716,30233N0,"Transfusion of Autologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788717,30233N1,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788718,30233P0,"Transfusion of Autologous Frozen Red Cells into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788719,30233P1,"Transfusion of Nonautologous Frozen Red Cells into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788722,30233R0,"Transfusion of Autologous Platelets into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788723,30233R1,"Transfusion of Nonautologous Platelets into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788726,30233T0,"Transfusion of Autologous Fibrinogen into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788727,30233T1,"Transfusion of Nonautologous Fibrinogen into Peripheral Vein, Percutaneous Approach",ICD10PCS
2788929,30240H0,"Transfusion of Autologous Whole Blood into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788930,30240H1,"Transfusion of Nonautologous Whole Blood into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788933,30240K0,"Transfusion of Autologous Frozen Plasma into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788934,30240K1,"Transfusion of Nonautologous Frozen Plasma into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788935,30240L0,"Transfusion of Autologous Fresh Plasma into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788936,30240L1,"Transfusion of Nonautologous Fresh Plasma into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788937,30240M0,"Transfusion of Autologous Plasma Cryoprecipitate into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788938,30240M1,"Transfusion of Nonautologous Plasma Cryoprecipitate into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788939,30240N0,"Transfusion of Autologous Red Blood Cells into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788940,30240N1,"Transfusion of Nonautologous Red Blood Cells into Central Vein, Open Approach (Deprecated)",ICD10PCS
2788941,30240P0,"Transfusion of Autologous Frozen Red Cells into Central Vein, Open Approach (Deprecated)",ICD10PCS
