concept_id,concept_code,concept_name,vocabulary_id,cluster
963929,1999307,hydroxyurea 100 MG,RxNorm,hydroxyurea
963930,1999308,hydroxyurea 100 MG Oral Tablet,RxNorm,hydroxyurea
963932,1999310,hydroxyurea 100 MG [Siklos],RxNorm,hydroxyurea
963933,1999311,hydroxyurea Oral Tablet [Siklos],RxNorm,hydroxyurea
963934,1999312,Siklos Oral Product,RxNorm,hydroxyurea
963935,1999313,Siklos Pill,RxNorm,hydroxyurea
963936,1999314,hydroxyurea 100 MG Oral Tablet [Siklos],RxNorm,hydroxyurea
963937,1999315,hydroxyurea 1000 MG [Siklos],RxNorm,hydroxyurea
963938,1999316,hydroxyurea 1000 MG Oral Tablet [Siklos],RxNorm,hydroxyurea
1377141,5552,hydroxyurea,RxNorm,hydroxyurea
1377163,197797,hydroxyurea 500 MG Oral Capsule,RxNorm,hydroxyurea
1377167,213282,hydroxyurea 200 MG Oral Capsule [Droxia],RxNorm,hydroxyurea
1377168,213283,hydroxyurea 300 MG Oral Capsule [Droxia],RxNorm,hydroxyurea
1377169,213284,hydroxyurea 400 MG Oral Capsule [Droxia],RxNorm,hydroxyurea
1377170,283475,hydroxyurea 1000 MG Oral Tablet,RxNorm,hydroxyurea
1377171,284561,hydroxyurea 1000 MG Oral Tablet [Mylocel],RxNorm,hydroxyurea
19007385,105602,hydroxyurea 500 MG Oral Capsule [Hydrea],RxNorm,hydroxyurea
19021901,564113,hydroxyurea 500 MG [Hydrea],RxNorm,hydroxyurea
19023560,200342,hydroxyurea 200 MG Oral Capsule,RxNorm,hydroxyurea
19023561,200343,hydroxyurea 300 MG Oral Capsule,RxNorm,hydroxyurea
19023562,200344,hydroxyurea 400 MG Oral Capsule,RxNorm,hydroxyurea
19063155,573195,hydroxyurea 200 MG [Droxia],RxNorm,hydroxyurea
19063156,573196,hydroxyurea 300 MG [Droxia],RxNorm,hydroxyurea
19063157,573197,hydroxyurea 400 MG [Droxia],RxNorm,hydroxyurea
19081478,316067,hydroxyurea 200 MG,RxNorm,hydroxyurea
19081479,316068,hydroxyurea 300 MG,RxNorm,hydroxyurea
19081480,316069,hydroxyurea 400 MG,RxNorm,hydroxyurea
19081492,316070,hydroxyurea 500 MG,RxNorm,hydroxyurea
19087442,331560,hydroxyurea 1000 MG,RxNorm,hydroxyurea
19120739,574990,hydroxyurea 1000 MG [Mylocel],RxNorm,hydroxyurea
36222777,1166387,Droxia Oral Product,RxNorm,hydroxyurea
36222778,1166388,Droxia Pill,RxNorm,hydroxyurea
36226190,1160113,hydroxyurea Oral Product,RxNorm,hydroxyurea
36226191,1160114,hydroxyurea Pill,RxNorm,hydroxyurea
36237854,1174066,Hydrea Oral Product,RxNorm,hydroxyurea
36237855,1174067,Hydrea Pill,RxNorm,hydroxyurea
36239273,1185671,Mylocel Oral Product,RxNorm,hydroxyurea
36239522,1185672,Mylocel Pill,RxNorm,hydroxyurea
40051647,370658,hydroxyurea Oral Capsule,RxNorm,hydroxyurea
40051648,366459,hydroxyurea Oral Capsule [Droxia],RxNorm,hydroxyurea
40051649,366743,hydroxyurea Oral Capsule [Hydrea],RxNorm,hydroxyurea
40051650,370657,hydroxyurea Oral Tablet,RxNorm,hydroxyurea
40051651,368144,hydroxyurea Oral Tablet [Mylocel],RxNorm,hydroxyurea
