concept_id,concept_code,concept_name,vocabulary_id,ingredient
586602,OMOP3137922,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Oral Solution,RxNorm Extension,tilidine
586943,OMOP3135159,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution [Tilidura] Box of 1,RxNorm Extension,tilidine
587059,OMOP3136418,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Oral Solution [Valoron N],RxNorm Extension,tilidine
587111,OMOP3136764,Naloxone 6.1 MG/ML / Tilidine 71 MG/ML Oral Solution Box of 10,RxNorm Extension,tilidine
587264,OMOP3136097,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution [Nalidin],RxNorm Extension,tilidine
587414,OMOP3136403,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Oral Solution Box of 1,RxNorm Extension,tilidine
587479,OMOP3135716,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Oral Solution [Valoron N] Box of 1,RxNorm Extension,tilidine
587543,OMOP3138805,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution Box of 1,RxNorm Extension,tilidine
587726,OMOP3136252,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution,RxNorm Extension,tilidine
587728,OMOP3135017,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML [Nalidin],RxNorm Extension,tilidine
588163,OMOP3137250,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
588545,OMOP3135950,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution [Nalidin] Box of 1,RxNorm Extension,tilidine
588935,OMOP3138667,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML [Tili 1a Pharma],RxNorm Extension,tilidine
589045,OMOP3136583,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Topical Solution,RxNorm Extension,tilidine
589066,OMOP3136405,Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML [Valtran],RxNorm Extension,tilidine
589117,OMOP3138047,Naloxone 6.1 MG/ML / Tilidine 71 MG/ML Oral Solution [Gruntin] Box of 10,RxNorm Extension,tilidine
589166,OMOP3135256,Naloxone 6.1 MG/ML / Tilidine 71.6 MG/ML Oral Solution [Tili 1a Pharma],RxNorm Extension,tilidine
